negative,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
negative,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!
negative,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds
negative,my whole body feels itchy and like its on fire 
negative,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. "
negative,@Kwesidei not the whole crew 
negative,"hmmm, i am bored! "
negative,@honorsociety i wish i could goooo 
negative,"last night def took the edge off, back to the real world now  "
negative,"has to miss my SAT today, and I have to miss my dad's company picnic. Two things I've been looking forward to for months    i hate mono"
negative,@allyeatscat Ditto...  *hug*
negative,starving buhh i dnt feel lyk gettn up to cook this mornin 
negative,I hate nosebleeds... Especially right out of the shower 
negative,@DavidArchie MY birthday is soon  Please greet me even it's a bit advanced!
negative,@LeaseTYM how is he doing ?! 
negative,@xx_Megan_xx It work? u've got it as your ringtone? and i was just about to take a pic when he said he was going! Sorry! wanted to show u 
negative,Installing the sims 3 .... and somethings for the sims 2 . OOOPS I just talked about the sims again 
negative,@adriolivera THATS WAT SHE SAIDD! XD but anyways yes it does suck. if u were close by id go nd pik u up myself 
negative,"why you go away  I try and tried and i'm still trying right now, but i really can't let go and give it up. I keep to myself, i miss you "
negative,It makes me sad to leave two books in Istanbul. We bought too much stuff and need to make room in our bags. 
negative,@tommcfly Please tom coment :my stuff of McFly! great concert yesterday! cry too much! I love them! http://twitpic.com/6r10o REPLY ME 
negative,Im not a happy camper today 
negative,The Block Party has been cancelled. 
negative,@jennikiz no textual activity = absolute disaster  i'm such an addict lol will i see u on campus nxt wk?
negative,"@karenkarr So, that's what the office tension was all about.  B wasn't very specific.  Hmmm.  Two steps forward, one step back. "
negative,Wow. @InflewenceofINF ohhhhh thanks for the clarification. Yep I'm aging. 
negative,hair is done... now off to lunch with an old [young] friend... awww Christopher... {highlight of my day}. Then {low point of my day} work 
negative,@J_Churchill No didnt get tickets was goona cost 2much  R u goin??
negative,@lalalile awhh I'm sorry to hear that  what happened?
negative,"Darn, I thought I heard my dad come home, but it was the neighbors "
negative, another Saturday without MO. Glad Rachel is coming over!
